id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
653894220894867628,Vista tetti in Casa Zambeccari,5955548,Damiana,,Porto - Saragozza,44.49232506734427,11.337357871234417,Entire home/apt,162,2,52,2024-03-24,2.49,1,189,41,Protocollo Generale Numero 391629 del 23/06/2022 - CIR 037006 - AT- 02314
654175482758582200,vicino alla stazione al centro con bagno in camera,4506590,Alessandro,,Navile,44.5097306,11.3490448,Private room,109,1,1,2023-05-15,0.10,2,130,1,037006-AF-00212
654352190139589075,Amazing Studios Open space 5minutes city center,202664104,Jo,,Santo Stefano,44.47947,11.33707,Entire home/apt,120,3,0,,,5,85,0,
654734913486324643,[Near Center] Design in Borgo Panigale,435354709,Edoardo E Gabriele,,Borgo Panigale - Reno,44.51925,11.27594,Entire home/apt,77,1,22,2024-02-17,1.10,1,34,16,
655001154555244967,white room deliziosa,156872189,Lidia,,San Donato - San Vitale,44.50641,11.36843,Private room,151,1,8,2023-06-01,0.38,7,168,1,
655391609201971776,Area 33 Bologna studio apartment with balcony,5149393,Daniele,,Borgo Panigale - Reno,44.50509113959643,11.303443349897861,Entire home/apt,102,2,21,2024-03-18,1.23,1,115,15,037006-AT-02312
655459441346150033,Realkasa Albiroli Apartment,228384114,Realkasa,,Santo Stefano,44.49736,11.34428,Entire home/apt,140,3,28,2024-02-25,1.34,91,123,15,037006-AT-02330
655500498301439226,Appartamento tranquillo e confortevole,5518616,Martina,,Navile,44.51362,11.34444,Entire home/apt,,5,11,2024-02-11,0.56,1,1,6,
656191870045181134,Murri Apartment,124360219,Elia,,Santo Stefano,44.47843,11.36567,Entire home/apt,116,2,19,2023-09-25,1.03,18,110,14,037006-CV-00455
656207336950829055,Appartamento centralissimo Bologna piazza Malpighi,180475908,Silvano,,Porto - Saragozza,44.49581,11.33774,Entire home/apt,250,6,0,,,2,365,0,
656810831640371308,Alloggio privato in villla con parco secolare,114216647,Amelia,,San Donato - San Vitale,44.49683,11.39303,Private room,97,2,0,,,1,163,0,
658556747752748106,Realkasa Palazzo Poeti,228384114,Realkasa,,Porto - Saragozza,44.49241,11.33713,Entire home/apt,92,3,30,2024-01-02,1.44,91,111,15,037006-AT-02331
660184093011599750,"Vince , Castel San Pietro Terme",466792414,Vincenzo,,San Donato - San Vitale,44.48654,11.36711,Private room,32,2,0,,,1,357,0,
660620389722041661,Casa Aldrovandi: Elegante e in Centro Storico,466883682,Giovanni,,Santo Stefano,44.49484,11.35232,Entire home/apt,279,1,13,2023-10-17,0.62,1,59,5,037006-CV-00641
